network_id,mid_length_m,mid_speed_mps,fast_length_m,slow_length_m,slow_speed_mps,demand,free_flow_mid_time_s,length_ratio,baseline_tt,no_middle_tt,delta,is_braess_road
1156,54,13.98,100,454,5.27,766,3.863,0.22,30452.0,100013.0,-69561.0,0
1157,98,11.63,245,734,11.23,556,8.426,0.334,85170.0,63278.0,21892.0,1
1158,272,17.51,388,932,7.02,1419,15.534,0.416,194042.0,320235.0,-126193.0,0
1159,153,14.51,301,916,13.09,1507,10.544,0.329,557335.0,219149.0,338186.0,1
1160,36,19.89,329,418,13.8,643,1.81,0.787,88399.0,44297.0,44102.0,1
1161,181,18.23,246,860,9.43,473,9.929,0.286,42184.0,71780.0,-29596.0,0
1162,175,18.62,66,581,6.64,1282,9.398,0.114,50919.0,166714.0,-115795.0,0
1163,219,13.85,118,719,6.09,1404,15.812,0.164,85075.0,255579.0,-170504.0,0
1164,296,14.87,387,967,9.76,720,19.906,0.4,275160.0,130046.0,145114.0,1
1165,220,11.16,309,457,10.91,1173,19.713,0.676,107255.0,107255.0,0.0,0
1166,165,11.85,365,761,5.28,492,13.924,0.48,64612.0,125693.0,-61081.0,0
1167,198,17.71,115,775,10.84,1098,11.18,0.148,60587.0,135094.0,-74507.0,0
1168,239,12.14,244,499,8.57,1119,19.687,0.489,260865.0,123136.0,137729.0,1
1169,146,10.82,78,650,8.12,573,13.494,0.12,26611.0,68824.0,-42213.0,0
1170,78,12.05,83,712,5.2,1067,6.473,0.117,41060.0,225220.0,-184160.0,0
1171,236,14.82,69,871,14.01,946,15.924,0.079,51933.0,81264.0,-29331.0,0
1172,31,19.83,60,880,8.78,1199,1.563,0.068,31299.0,184367.0,-153068.0,0
1173,70,17.7,215,986,6.0,821,3.955,0.218,59701.0,211350.0,-151649.0,0
1174,277,17.74,222,908,11.67,741,15.614,0.244,66917.0,104407.0,-37490.0,0
1175,206,19.63,364,706,7.02,554,10.494,0.516,68015.0,101851.0,-33836.0,0
1176,167,11.18,324,619,7.97,1574,14.937,0.523,470850.0,233401.0,237449.0,1
1177,67,16.61,255,631,10.78,1089,4.034,0.404,296910.0,128961.0,167949.0,1
1178,291,13.7,189,468,7.1,557,21.241,0.404,80911.0,64746.0,16165.0,1
1179,278,17.65,383,709,9.33,1505,15.751,0.54,459277.0,226480.0,232797.0,1
1180,232,12.83,210,604,11.25,1328,18.083,0.348,241952.0,119207.0,122745.0,1
1181,112,18.57,393,960,11.28,1457,6.031,0.409,579364.0,257432.0,321932.0,1
1182,275,10.56,145,990,14.62,1357,26.042,0.146,136286.0,174804.0,-38518.0,0
1183,242,19.22,187,945,12.27,522,12.591,0.198,40636.0,68691.0,-28055.0,0
1184,206,13.55,317,605,7.4,1014,15.203,0.524,288847.0,146735.0,142112.0,1
1185,183,18.32,272,820,14.11,816,9.989,0.332,249158.0,91965.0,157193.0,1
1186,166,15.75,261,673,7.56,883,10.54,0.388,82156.0,133345.0,-51189.0,0
1187,78,9.8,257,644,5.28,1035,7.959,0.399,102082.0,219821.0,-117739.0,0
1188,243,13.06,287,897,14.06,813,18.606,0.32,174587.0,90145.0,84442.0,1
1189,89,8.35,131,679,12.9,968,10.659,0.193,63878.0,87825.0,-23947.0,0
1190,110,15.73,387,963,5.42,1395,6.993,0.402,173826.0,420912.0,-247086.0,0
1191,62,11.77,60,456,7.98,530,5.268,0.132,15863.0,45096.0,-29233.0,0
1192,66,12.76,258,772,13.4,687,5.172,0.334,103313.0,68310.0,35003.0,1
1193,276,19.2,170,514,10.22,1588,14.375,0.331,357902.0,151253.0,206649.0,1
1194,274,18.61,318,657,7.38,650,14.723,0.484,143317.0,98024.0,45293.0,1
1195,219,17.67,210,737,12.44,1266,12.394,0.285,386284.0,146212.0,240072.0,1
1196,74,10.1,161,547,14.7,1300,7.327,0.294,166908.0,98482.0,68426.0,1
1197,48,13.88,259,660,8.75,631,3.458,0.392,52971.0,84798.0,-31827.0,0
1198,236,13.7,212,958,7.46,968,17.226,0.221,85930.0,194547.0,-108617.0,0
1199,263,16.59,124,771,13.21,443,15.853,0.161,27692.0,43500.0,-15808.0,0
1200,47,16.29,380,435,12.89,890,2.885,0.874,117613.0,76986.0,40627.0,1
